pageid,title,wikidata,label
9322839,Aden Madobe,Q2744150,Adan Mohamed Nuur Madobe
36973989,Hassan Sheikh Mohamud,Q319153,Hassan Sheikh Mohamud
41669456,Abdirahman Duale Beyle,Q16199176,Abdirahman Beileh
45028850,Said Hussein Iid,Q18764136,Said Hussein Iid
46314953,Gamal Mohamed Hassan,Q19958039,Jamal Mohamed Hassan
49523935,Abdirashid Mohamed Ahmed,Q23540881,Abdirashid Mohamed Ahmed
63210457,Odowaa Yusuf Rageh,Q86377062,Odowaa Yusuf Rageh
65966730,Osman Dubbe,Q105627781,Osman Dubbe
67495666,Hanifa Mohamed Ibrahim,Q106614987,Haniifa Mohamed Ibrahim
67496958,Fawziya Abikar Nur,Q106618743,Fawziya Abikar Nur
71027570,Hamza Abdi Barre,Q112598575,Hamza Abdi Barre
